query_id,query,doc_id,title,phase,status,relevance
0,lung cancer phase 1,NCT02879617,A Clinical Trial of Durvalumab (MEDI4736) as 1st Line Therapy in Advanced Non-small Cell Lung Cancer Patients,PHASE2,COMPLETED,
0,lung cancer phase 1,NCT00424840,Phase I/II Study to Evaluate the Efficacy and Safety of a Combination Chemotherapy,PHASE1,TERMINATED,
0,lung cancer phase 1,NCT06943235,Study of Probiotics Combined With Concurrent Hyperfractionated ChemoRadiotherapy and Adebrelimab Immunomaintenance in the Treatment of Limited-stage Small Cell Lung Cancer (LS-SCLC),PHASE2,NOT_YET_RECRUITING,
0,lung cancer phase 1,NCT02760225,Pembrolizumab-PET Imaging,,COMPLETED,
0,lung cancer phase 1,NCT01665417,Icotinib as First-line and Maintenance Treatment in EGFR Mutated Patients With Lung Adenocarcinoma,PHASE4,UNKNOWN,
0,lung cancer phase 1,NCT04241835,A Study to Compare the Blood Levels and Safety of Tazemetostat in Participants With Advanced Cancer and Moderate/Severe Liver Impairment to Participants With Advanced Cancer and Normal Liver Function,PHASE1,RECRUITING,
0,lung cancer phase 1,NCT00304525,"A Study to Evaluate RAF265, an Oral Drug Administered to Subjects With Locally Advanced or Metastatic Melanoma","PHASE1, PHASE2",COMPLETED,
1,diabetes recruiting,NCT05882708,Effect of Heart Rate Control With Ivabradine on Hemodynamic in Patients With Sepsis,PHASE4,RECRUITING,
1,diabetes recruiting,NCT00606476,"AAB-001 (Bapineuzumab) Open-Label, Long-Term Extension Study in Patients With Mild to Moderate Alzheimer's Disease",PHASE2,TERMINATED,
1,diabetes recruiting,NCT03445325,Pre/Post Evaluation of Living Green and Healthy for Teens (LiGHT),,COMPLETED,
1,diabetes recruiting,NCT04881240,Study of CD19-directed Allogeneic Memory T-cell Therapy for Relapsed/Refractory CD19+ Leukemia,PHASE1,RECRUITING,
1,diabetes recruiting,NCT01926925,Endothelial Function in Hispanic Children/Adolescents at Risk for Type 2 Diabetes,Not Applicable,COMPLETED,
1,diabetes recruiting,NCT02383940,Efficacy and Safety of Sotagliflozin in Young Adult Patients With Type 1 Diabetes Mellitus and Elevated Hemoglobin A1C,PHASE2,COMPLETED,
